Epoch,Perplexity
1.0,10632.973550801433
2.0,11380.187380053436
3.0,11751.011075151095
4.0,11726.046828690514
5.0,14034.46801005535
6.0,16839.8036099335
7.0,24078.304972366248
8.0,37244.65733660919
9.0,71605.5866142883
10.0,139767.20520668462
11.0,267824.17363157985
12.0,489995.2210368473
13.0,849138.4609192595
14.0,1493328.982328655
15.0,2280075.2605509534
16.0,3793168.17598744
17.0,6278252.251062757
18.0,8800593.694278179
19.0,13102270.939653909
20.0,17684313.34430189
21.0,23430724.123219885
22.0,32675603.341341946
23.0,39583434.97144282
24.0,51037620.615580626
25.0,68687140.45030679
26.0,83355928.69953264
27.0,100294954.34612626
28.0,114076039.07732241
29.0,132193790.0662165
30.0,166950591.2080988
31.0,185529582.05498627
32.0,218500556.20165092
33.0,274129059.45450944
34.0,258691101.19819617
35.0,280794215.3770151
36.0,327203991.0982664
37.0,352645887.6695958
38.0,374659984.5357188
39.0,402621341.9520769
40.0,387872756.5358192
41.0,418084608.09366083
42.0,384582070.0839631
43.0,399089048.5970469
44.0,400701478.10405433
45.0,399201722.388285
46.0,436247642.22787166
47.0,417545094.28645486
48.0,434653806.3837794
49.0,414679950.9457701
50.0,414813641.22273874
51.0,443478581.67732227
52.0,440627902.5998342
53.0,517992669.8059784
54.0,505764704.15246594
55.0,554651251.0185388
56.0,636767678.9515165
57.0,816505374.0159311
58.0,862891866.8072264
59.0,960576740.6962379
60.0,979567259.2966609
61.0,1064487151.424328
62.0,1200197762.2137628
63.0,1097088399.7173872
64.0,1172050891.9422412
65.0,1178841848.7302856
66.0,1178927293.397493
67.0,1161427011.0428066
68.0,1165321282.3612335
69.0,1210848294.6439824
70.0,1186629149.2081735
71.0,1179122940.0362086
72.0,1223834527.292883
73.0,1217580686.9203577
74.0,1224574717.5194
75.0,1256456097.6180887
76.0,1266213996.780656
77.0,1220929468.903674
78.0,1265190403.4434087
79.0,1289779907.9323192
80.0,1293699807.943117
81.0,1312119081.252066
82.0,1323992585.1316366
83.0,1334641506.593088
84.0,1372691245.3290818
85.0,1345211857.2699478
86.0,1368260560.9865856
87.0,1401172867.3444712
88.0,1408423415.3864717
89.0,1413461259.566852
90.0,1434058777.317634
91.0,1460205301.503392
92.0,1450354287.8054602
93.0,1486970344.838898
94.0,1486485438.7047896
95.0,1501519715.8186522
96.0,1518897546.588603
97.0,1541204951.2431917
98.0,1546655795.3451881
99.0,1553109096.7590175
100.0,1556917377.7012777
